year,readiness_group,firms,exit_rate_nonmissing,hhi_nonmissing,incumbent_link_risk_set,active_rcep_supplier_links
2017,0,2324,0,0,0,0
2017,1,214,0,113,0,137
2017,2plus,57,0,50,0,169
2018,0,2371,0,0,0,0
2018,1,216,112,113,136,130
2018,2plus,53,47,46,164,181
2019,0,2492,0,0,0,0
2019,1,213,114,130,131,163
2019,2plus,51,44,45,174,204
2020,0,2774,0,64,0,90
2020,1,216,131,101,165,140
2020,2plus,49,43,45,200,190
2021,0,3084,66,107,93,148
2021,1,225,103,89,141,136
2021,2plus,52,46,41,194,200
2022,0,3314,107,191,148,307
2022,1,223,85,79,129,124
2022,2plus,53,42,43,204,223
2023,0,3522,193,254,309,410
2023,1,223,81,83,126,145
2023,2plus,53,43,38,219,243
2024,0,3505,252,280,408,467
2024,1,215,81,67,142,137
2024,2plus,51,37,38,242,272
