partner_country,rcep,year,relationships,listed_firms,survivors,at_risk,first_exits
AU,1,2018,25,24,15,25,10
AU,1,2019,25,24,3,15,12
AU,1,2020,25,24,3,3,0
AU,1,2021,25,24,2,3,1
AU,1,2022,25,24,2,2,0
AU,1,2023,25,24,2,2,0
AU,1,2024,25,24,1,2,1
BD,0,2018,2,2,0,2,2
BD,0,2019,2,2,0,0,0
BD,0,2020,2,2,0,0,0
BD,0,2021,2,2,0,0,0
BD,0,2022,2,2,0,0,0
BD,0,2023,2,2,0,0,0
BD,0,2024,2,2,0,0,0
HK,0,2018,65,57,34,65,31
HK,0,2019,65,57,23,34,11
HK,0,2020,65,57,16,23,7
HK,0,2021,65,57,12,16,4
HK,0,2022,65,57,10,12,2
HK,0,2023,65,57,9,10,1
HK,0,2024,65,57,9,9,0
ID,1,2018,7,6,5,7,2
ID,1,2019,7,6,4,5,1
ID,1,2020,7,6,2,4,2
ID,1,2021,7,6,1,2,1
ID,1,2022,7,6,1,1,0
ID,1,2023,7,6,1,1,0
ID,1,2024,7,6,1,1,0
IN,0,2018,14,13,13,14,1
IN,0,2019,14,13,8,13,5
IN,0,2020,14,13,8,8,0
IN,0,2021,14,13,7,8,1
IN,0,2022,14,13,5,7,2
IN,0,2023,14,13,5,5,0
IN,0,2024,14,13,5,5,0
JP,1,2018,142,98,75,142,67
JP,1,2019,142,98,57,75,18
JP,1,2020,142,98,52,57,5
JP,1,2021,142,98,39,52,13
JP,1,2022,142,98,30,39,9
JP,1,2023,142,98,21,30,9
JP,1,2024,142,98,18,21,3
KR,1,2018,133,67,88,133,45
KR,1,2019,133,67,59,88,29
KR,1,2020,133,67,40,59,19
KR,1,2021,133,67,34,40,6
KR,1,2022,133,67,30,34,4
KR,1,2023,133,67,29,30,1
KR,1,2024,133,67,23,29,6
LK,0,2018,3,3,2,3,1
LK,0,2019,3,3,2,2,0
LK,0,2020,3,3,0,2,2
LK,0,2021,3,3,0,0,0
LK,0,2022,3,3,0,0,0
LK,0,2023,3,3,0,0,0
LK,0,2024,3,3,0,0,0
MY,1,2018,11,9,8,11,3
MY,1,2019,11,9,4,8,4
MY,1,2020,11,9,3,4,1
MY,1,2021,11,9,3,3,0
MY,1,2022,11,9,3,3,0
MY,1,2023,11,9,3,3,0
MY,1,2024,11,9,3,3,0
NZ,1,2018,3,2,0,3,3
NZ,1,2019,3,2,0,0,0
NZ,1,2020,3,2,0,0,0
NZ,1,2021,3,2,0,0,0
NZ,1,2022,3,2,0,0,0
NZ,1,2023,3,2,0,0,0
NZ,1,2024,3,2,0,0,0
PH,1,2018,1,1,0,1,1
PH,1,2019,1,1,0,0,0
PH,1,2020,1,1,0,0,0
PH,1,2021,1,1,0,0,0
PH,1,2022,1,1,0,0,0
PH,1,2023,1,1,0,0,0
PH,1,2024,1,1,0,0,0
SG,1,2018,53,45,31,53,22
SG,1,2019,53,45,24,31,7
SG,1,2020,53,45,22,24,2
SG,1,2021,53,45,21,22,1
SG,1,2022,53,45,19,21,2
SG,1,2023,53,45,17,19,2
SG,1,2024,53,45,9,17,8
TH,1,2018,11,10,6,11,5
TH,1,2019,11,10,5,6,1
TH,1,2020,11,10,3,5,2
TH,1,2021,11,10,2,3,1
TH,1,2022,11,10,2,2,0
TH,1,2023,11,10,2,2,0
TH,1,2024,11,10,2,2,0
TW,0,2018,79,57,57,79,22
TW,0,2019,79,57,38,57,19
TW,0,2020,79,57,21,38,17
TW,0,2021,79,57,18,21,3
TW,0,2022,79,57,16,18,2
TW,0,2023,79,57,14,16,2
TW,0,2024,79,57,13,14,1
VN,1,2018,1,1,1,1,0
VN,1,2019,1,1,0,1,1
VN,1,2020,1,1,0,0,0
VN,1,2021,1,1,0,0,0
VN,1,2022,1,1,0,0,0
VN,1,2023,1,1,0,0,0
VN,1,2024,1,1,0,0,0
