partner_country,rcep,period,risk_rows,firms,first_country_entries
AU,1,post,1719,577,8
AU,1,pre,2350,593,16
BD,0,post,1863,621,0
BD,0,pre,2484,621,0
BN,1,post,1869,623,0
BN,1,pre,2492,623,0
HK,0,post,1432,491,34
HK,0,pre,2062,530,39
ID,1,post,1804,603,5
ID,1,pre,2434,614,11
IN,0,post,1736,583,15
IN,0,pre,2376,600,17
JP,1,post,1342,454,20
JP,1,pre,1907,494,40
KH,1,post,1869,623,0
KH,1,pre,2492,623,0
KR,1,post,1537,519,25
KR,1,pre,2130,541,22
LA,1,post,1869,623,0
LA,1,pre,2492,623,0
LK,0,post,1857,619,2
LK,0,pre,2476,619,0
MM,1,post,1869,623,0
MM,1,pre,2492,623,0
MN,0,post,1869,623,0
MN,0,pre,2492,623,0
MY,1,post,1817,607,6
MY,1,pre,2440,613,6
NZ,1,post,1836,613,2
NZ,1,pre,2462,616,3
PH,1,post,1844,615,1
PH,1,pre,2465,619,4
PK,0,post,1844,616,3
PK,0,pre,2480,621,5
SG,1,post,1621,546,13
SG,1,pre,2225,563,17
TH,1,post,1802,604,11
TH,1,pre,2434,611,7
TW,0,post,1520,517,32
TW,0,pre,2125,540,23
VN,1,post,1847,618,8
VN,1,pre,2478,621,3
