term,group,event_time,estimate,std_error
g2022_e_m4,2022,-4,0.000732139704753843,0.0038391816799671105
g2022_e_m3,2022,-3,0.003152511320342587,0.0034489571039479964
g2022_e_m2,2022,-2,-0.0013711020049694293,0.0017144279313282534
g2022_e_p0,2022,0,-0.0012729272382249592,0.002297005279703234
g2022_e_p1,2022,1,-0.0033354083792386698,0.005959472763060706
g2022_e_p2,2022,2,-0.0048542789796663715,0.007839093936981003
g2023_e_m5,2023,-5,0.0009051705237661073,0.004400564883999671
g2023_e_m4,2023,-4,0.007820224522295718,0.0045808386032854505
g2023_e_m3,2023,-3,0.004638072954067934,0.0025940240387915415
g2023_e_m2,2023,-2,0.0025122018605575553,0.0018052300749517045
g2023_e_p0,2023,0,-0.0009834223884527063,0.005193863565389299
g2023_e_p1,2023,1,-0.008093257553757942,0.006060667817120452
