partner_country,rcep,period,active_links,positive_firm_country_years
AU,1,post,61,49
AU,1,pre,69,62
BD,0,post,0,0
BD,0,pre,0,0
BN,1,post,0,0
BN,1,pre,0,0
HK,0,post,180,167
HK,0,pre,198,184
ID,1,post,42,36
ID,1,pre,50,43
IN,0,post,137,76
IN,0,pre,94,69
JP,1,post,386,202
JP,1,pre,514,283
KH,1,post,0,0
KH,1,pre,0,0
KR,1,post,654,196
KR,1,pre,541,203
LA,1,post,0,0
LA,1,pre,0,0
LK,0,post,4,4
LK,0,pre,5,5
MM,1,post,0,0
MM,1,pre,0,0
MN,0,post,0,0
MN,0,pre,0,0
MY,1,post,27,26
MY,1,pre,33,29
NZ,1,post,23,21
NZ,1,pre,18,18
PH,1,post,13,12
PH,1,pre,16,14
PK,0,post,21,16
PK,0,pre,13,11
SG,1,post,101,93
SG,1,pre,150,126
TH,1,post,57,39
TH,1,pre,36,31
TW,0,post,275,155
TW,0,pre,265,173
VN,1,post,22,18
VN,1,pre,9,8
