term,group,event_time,estimate,std_error
supplier_g2022_e_m4,2022,-4,-0.003856571611203304,0.004291295887606553
supplier_g2022_e_m3,2022,-3,-0.006279341876616149,0.005395931489558089
supplier_g2022_e_m2,2022,-2,-0.005937862593856313,0.0038290649097150425
supplier_g2022_e_p0,2022,0,0.001118648383029189,0.0025630284127012657
supplier_g2022_e_p1,2022,1,0.002444143652840459,0.0023810983342009762
supplier_g2022_e_p2,2022,2,0.0031835777872050927,0.0028823304532781787
supplier_g2023_e_m5,2023,-5,0.0002898273684170932,0.006005459172952243
supplier_g2023_e_m4,2023,-4,-0.003083674117016946,0.005998686094005874
supplier_g2023_e_m3,2023,-3,-0.0013310489164048752,0.003896821951440359
supplier_g2023_e_m2,2023,-2,0.0011570957898356053,0.0025295168730109056
supplier_g2023_e_p0,2023,0,0.004281108017321132,0.0024116383797500515
supplier_g2023_e_p1,2023,1,0.006578666378107411,0.0025164887388051324
