draw,beta,assignment
1,-0.0016451329517913717,AU:0;BD:0;BN:0;HK:0;ID:0;IN:0;JP:2022;KH:0;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2023;PH:2022;PK:2023;SG:2022;TH:2022;TW:2022;VN:2022
2,-0.0016187126539638874,AU:0;BD:0;BN:0;HK:0;ID:0;IN:0;JP:2023;KH:2022;KR:2022;LA:2022;LK:2023;MM:2022;MN:2022;MY:0;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
3,0.0007817829414335677,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:0;KH:2022;KR:2022;LA:2022;LK:2022;MM:2023;MN:2022;MY:2023;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:0
4,-0.003822822452945698,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:0;LK:2023;MM:0;MN:2022;MY:2022;NZ:2023;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
5,-0.0012010831205025274,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:0;MM:2022;MN:2022;MY:2022;NZ:2023;PH:0;PK:2022;SG:2022;TH:2023;TW:2022;VN:2022
6,-0.002274610409259225,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:0;MN:2022;MY:2022;NZ:2022;PH:2023;PK:2022;SG:2022;TH:0;TW:2022;VN:2023
7,0.0034919049563283126,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:0;MY:2022;NZ:2022;PH:2023;PK:2022;SG:2022;TH:2022;TW:0;VN:2023
8,-0.0035234512723326078,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:0;NZ:2022;PH:2022;PK:2023;SG:2023;TH:0;TW:2022;VN:2022
9,-0.002843671665725214,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:0;PH:2023;PK:2023;SG:2022;TH:2022;TW:2022;VN:0
10,0.003778197048199933,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2023;PK:2022;SG:2023;TH:0;TW:0;VN:2022
11,-0.0025686386803334535,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2023;MN:2022;MY:2023;NZ:2022;PH:0;PK:2022;SG:2022;TH:2022;TW:2022;VN:0
12,0.004427535806159875,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2023;LK:0;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2023;TW:0;VN:2022
13,-0.0030089802469420034,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2023;KH:0;KR:2022;LA:2022;LK:2022;MM:2022;MN:0;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2023;TH:2022;TW:2022;VN:2022
14,-0.0006333212545580056,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2022;JP:2023;KH:2022;KR:2022;LA:0;LK:2022;MM:2022;MN:0;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2023;VN:2022
15,-0.002920483623363883,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2023;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:0;NZ:2022;PH:2022;PK:2022;SG:2023;TH:0;TW:2022;VN:2022
16,-0.0030507688251245006,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2023;JP:2022;KH:2022;KR:2022;LA:2022;LK:2023;MM:2022;MN:2022;MY:0;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:0
17,-0.001882512675991698,AU:0;BD:0;BN:0;HK:0;ID:0;IN:2023;JP:2023;KH:2022;KR:2022;LA:0;LK:2022;MM:0;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
18,-0.002669437961206243,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:0;JP:2022;KH:0;KR:2022;LA:2022;LK:2022;MM:2022;MN:2023;MY:2022;NZ:2023;PH:2022;PK:0;SG:2022;TH:2022;TW:2022;VN:2022
19,-0.0003152041570664281,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:0;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:0;MN:2022;MY:2022;NZ:0;PH:2022;PK:2023;SG:2022;TH:2022;TW:2023;VN:2022
20,-0.0010556550950420887,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:0;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2023;MN:2022;MY:0;NZ:2022;PH:2022;PK:2022;SG:0;TH:2022;TW:2022;VN:2023
21,-0.0028448552851959275,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:0;JP:2022;KH:2023;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:0;PH:2022;PK:0;SG:2022;TH:2022;TW:2022;VN:2023
22,0.003527227843185352,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:0;KH:0;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2023;PH:2022;PK:2022;SG:0;TH:2022;TW:2023;VN:2022
23,0.008101123405962371,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:0;KH:2022;KR:2022;LA:2022;LK:0;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2023;PK:2022;SG:2022;TH:2022;TW:0;VN:2023
24,0.0009534520842649147,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:0;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:0;MY:2022;NZ:2022;PH:2022;PK:2023;SG:2023;TH:0;TW:2022;VN:2022
25,-0.004174910408578743,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:0;KR:0;LA:2022;LK:2022;MM:2022;MN:2022;MY:0;NZ:2023;PH:2022;PK:2022;SG:2022;TH:2022;TW:2023;VN:2022
26,-0.00244650899765385,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:0;KR:2022;LA:2022;LK:0;MM:2022;MN:2022;MY:2022;NZ:2022;PH:0;PK:2022;SG:2023;TH:2022;TW:2022;VN:2023
27,-0.0016769635470495466,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:0;KR:2022;LA:2022;LK:2022;MM:0;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2023;TH:0;TW:2023;VN:2022
28,-0.001693336050782537,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:0;KR:2022;LA:2023;LK:0;MM:2022;MN:2022;MY:2022;NZ:2022;PH:0;PK:2022;SG:2022;TH:2023;TW:2022;VN:2022
29,-0.0049318080601106476,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:0;LA:0;LK:2023;MM:2022;MN:0;MY:2022;NZ:2022;PH:2023;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
30,-0.004056202880296631,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2022;LA:0;LK:2022;MM:0;MN:0;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2023;TH:2022;TW:2022;VN:2023
31,-0.0028277734377987213,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2022;LA:0;LK:2022;MM:0;MN:2022;MY:2023;NZ:2022;PH:2022;PK:2023;SG:0;TH:2022;TW:2022;VN:2022
32,-0.0021643011397107655,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:0;MM:2022;MN:0;MY:2022;NZ:2022;PH:2023;PK:2022;SG:2023;TH:0;TW:2022;VN:2022
