supplier_role,partner_country,rcep,period,active_links
0,AU,1,post,124
0,AU,1,pre,127
0,BD,0,post,15
0,BD,0,pre,5
0,BN,1,post,0
0,BN,1,pre,7
0,HK,0,post,695
0,HK,0,pre,761
0,ID,1,post,128
0,ID,1,pre,105
0,IN,0,post,273
0,IN,0,pre,218
0,JP,1,post,1450
0,JP,1,pre,1742
0,KH,1,post,6
0,KH,1,pre,8
0,KR,1,post,629
0,KR,1,pre,676
0,LA,1,post,5
0,LA,1,pre,6
0,LK,0,post,35
0,LK,0,pre,17
0,MM,1,post,11
0,MM,1,pre,10
0,MN,0,post,8
0,MN,0,pre,4
0,MY,1,post,82
0,MY,1,pre,113
0,NZ,1,post,9
0,NZ,1,pre,8
0,PH,1,post,62
0,PH,1,pre,51
0,PK,0,post,37
0,PK,0,pre,34
0,SG,1,post,170
0,SG,1,pre,174
0,TH,1,post,106
0,TH,1,pre,76
0,TW,0,post,804
0,TW,0,pre,686
0,VN,1,post,61
0,VN,1,pre,37
1,AU,1,post,70
1,AU,1,pre,76
1,BD,0,post,1
1,BD,0,pre,0
1,BN,1,post,0
1,BN,1,pre,0
1,HK,0,post,219
1,HK,0,pre,221
1,ID,1,post,54
1,ID,1,pre,54
1,IN,0,post,150
1,IN,0,pre,102
1,JP,1,post,426
1,JP,1,pre,556
1,KH,1,post,0
1,KH,1,pre,0
1,KR,1,post,739
1,KR,1,pre,587
1,LA,1,post,0
1,LA,1,pre,2
1,LK,0,post,4
1,LK,0,pre,5
1,MM,1,post,0
1,MM,1,pre,0
1,MN,0,post,1
1,MN,0,pre,0
1,MY,1,post,31
1,MY,1,pre,34
1,NZ,1,post,25
1,NZ,1,pre,18
1,PH,1,post,18
1,PH,1,pre,20
1,PK,0,post,21
1,PK,0,pre,13
1,SG,1,post,117
1,SG,1,pre,158
1,TH,1,post,70
1,TH,1,pre,57
1,TW,0,post,338
1,TW,0,pre,297
1,VN,1,post,30
1,VN,1,pre,12
