main_term,interaction_term,group,event_time,main_estimate,interaction_estimate,interaction_std_error
main_g2022_e_m5,revenue10_g2022_e_m5,2022,-5,0.09314453048844278,-0.055584864641482525,0.021573646254079558
main_g2022_e_m4,revenue10_g2022_e_m4,2022,-4,0.18237804080661174,-0.048194829911354015,0.021880170224110235
main_g2022_e_m3,revenue10_g2022_e_m3,2022,-3,0.13767112423457817,-0.042960273285158494,0.015084927922420933
main_g2022_e_m2,revenue10_g2022_e_m2,2022,-2,0.055677937332979016,-0.04150531286089584,0.01445561351005041
main_g2022_e_p0,revenue10_g2022_e_p0,2022,0,0.07185216172654371,0.002392986598314533,0.008515111656964567
main_g2022_e_p1,revenue10_g2022_e_p1,2022,1,0.06581855377973338,-0.00614037588553068,0.014696765021699566
main_g2022_e_p2,revenue10_g2022_e_p2,2022,2,0.05554784715663473,-0.0027206188354281027,0.010299660952829278
main_g2023_e_m6,revenue10_g2023_e_m6,2023,-6,0.013869704938997633,-0.26846736247244984,0.04583388825022384
main_g2023_e_m5,revenue10_g2023_e_m5,2023,-5,-0.08430816170236097,-0.16534461776922899,0.05192419770367615
main_g2023_e_m4,revenue10_g2023_e_m4,2023,-4,-0.09158304645651522,-0.10470809975171727,0.04351374112325568
main_g2023_e_m3,revenue10_g2023_e_m3,2023,-3,-0.10960358836196167,0.06437415406237525,0.018718217554430462
main_g2023_e_m2,revenue10_g2023_e_m2,2023,-2,-0.03028903677555099,0.0027177453029030713,0.017681650165851565
main_g2023_e_p0,revenue10_g2023_e_p0,2023,0,0.023762554467914462,-0.13780808216769294,0.009348373047377784
main_g2023_e_p1,revenue10_g2023_e_p1,2023,1,-0.017282284120199855,-0.21685116036436833,0.0227951982910314
