candidate,cluster,low_effect,low_se,low_p,high_effect,high_se,high_p,difference,difference_se,difference_p,low_n,high_n,low_pairs,high_pairs
供应商关系 vs 客户关系,pair,-0.003274649499404666,0.005224626449384274,0.5308091509173047,0.029473340973373733,0.006335053455943821,3.2824308315859696e-06,0.032747990472781145,0.008211501864908096,6.661484857950484e-05,369816,260464,46227,32558
供应商关系 vs 客户关系,country,-0.003274649499404666,0.018800679193348692,0.86172631907991,0.029473340973373733,0.03413424266445962,0.38788892816166465,0.032747990472781145,0.033464591015361096,0.3277844286832402,369816,260464,46227,32558
RCEP早生效成员 vs 晚生效成员,pair,0.01901070753520235,0.004212158017799799,6.384160753158952e-06,-0.05020060236513574,0.013886560861722817,0.000300317175946585,-0.06921130990033808,0.01436600493794211,1.4521196786132506e-06,630280,630280,13229,1156
RCEP早生效成员 vs 晚生效成员,country,0.01901070753520235,0.019649445996038937,0.33329790857732466,-0.05020060236513574,0.013782936124124876,0.0002703127556245022,-0.06921130990033808,0.01689281218944579,4.183829039317022e-05,630280,630280,13229,1156
RCEP前自贸协定覆盖：已有协定伙伴 vs 日本,pair,-0.002569936454536667,0.004972926280967496,0.6053060738853524,0.037759734754611265,0.006142681018472502,7.896125975292989e-10,0.04032967120914793,0.007526442534325088,8.39633277349705e-08,630280,630280,8607,5778
政策前关系成熟度：其他关系 vs 长期关系,pair,0.018300788097448683,0.004065690658090619,6.7561958481121565e-06,-0.01622479866940429,0.01596295069164502,0.3094450516991931,-0.03452558676692506,0.016470760658042465,0.03606672339935724,594072,36208,74259,4526
政策前关系成熟度：其他关系 vs 长期关系,country,0.018300788097448683,0.020361615704551545,0.36876568912118257,-0.01622479866940429,0.02042916453202421,0.4270862066365817,-0.03452558676692506,0.020110207741583605,0.08601224807224805,594072,36208,74259,4526
供应商关系中的企业行业：非制造业 vs 制造业,pair,-0.020509292335918423,0.018327330054833203,0.26312399982426493,0.02741914896426932,0.012650280883091168,0.030202853827948628,0.04792844130018409,0.022268306196492366,0.031372440636793564,41688,65760,5211,8220
供应商关系中的企业行业：非制造业 vs 制造业,country,-0.020509292335918423,0.03487921964370362,0.5565299454104236,0.02741914896426932,0.05704918817665249,0.6307863307570338,0.04792844130018409,0.06347568988261945,0.4502083800056996,41688,65760,5211,8220
关系事件数：前20% vs 其余,pair,-0.00902963960039561,0.004404896012212965,0.04037474688163867,0.002570461275226484,0.004428387024491474,0.5616109268127547,0.011600100875610975,0.006246047622210554,0.06328404313713709,196256,434024,24532,54253
关系事件数：前20% vs 其余,country,-0.00902963960039561,0.013216623078355685,0.4944793525632931,0.002570461275226484,0.012432839072451045,0.8362069890869572,0.011600100875610975,0.012350287065753576,0.34759850682570503,196256,434024,24532,54253
