mechanism,variable,replicate,a_boot,b_boot,ab_boot
增量关税优惠幅度,tariff_relief,1,0.21801319929128907,0.08711139586715509,0.01899143410772846
增量关税优惠幅度,tariff_relief,2,0.21634408295397434,0.07086121885018297,0.015330405409143714
增量关税优惠幅度,tariff_relief,3,0.21894548188273238,0.09018650292108646,0.019745927341375726
增量关税优惠幅度,tariff_relief,4,0.21859976697664982,0.06498197937398995,0.014205045548835667
增量关税优惠幅度,tariff_relief,5,0.21821760203710777,0.0738135070137212,0.016107406498483478
增量关税优惠幅度,tariff_relief,6,0.21817781112314397,0.08150374074800272,0.01778230775474743
增量关税优惠幅度,tariff_relief,7,0.21838844007838307,0.07427889857163089,0.016221652789798906
增量关税优惠幅度,tariff_relief,8,0.21611372670536044,0.07251175023939734,0.01567078457416447
增量关税优惠幅度,tariff_relief,9,0.21490389143647565,0.058772685565008906,0.012630478838092794
增量关税优惠幅度,tariff_relief,10,0.21901994980192474,0.06069898504975197,0.013294288658624457
增量关税优惠幅度,tariff_relief,11,0.21851971357999567,0.07240722036724936,0.01582240505577496
增量关税优惠幅度,tariff_relief,12,0.2200608510963204,0.08567024111436461,0.018852666173254057
增量关税优惠幅度,tariff_relief,13,0.21940005387421793,0.10125105292297375,0.02221448646612173
增量关税优惠幅度,tariff_relief,14,0.21528091841958646,0.07229848623353112,0.015564484516700408
增量关税优惠幅度,tariff_relief,15,0.2181111846821456,0.07699385989029305,0.016793221993922948
增量关税优惠幅度,tariff_relief,16,0.21808394714664323,0.07387372488231739,0.016110673512760968
增量关税优惠幅度,tariff_relief,17,0.21714455653110934,0.07469244072160651,0.016219056916719418
增量关税优惠幅度,tariff_relief,18,0.21981342753560165,0.04258325080267339,0.009360370314543797
增量关税优惠幅度,tariff_relief,19,0.21607314518175036,0.055753439195557294,0.012046820961683542
增量关税优惠幅度,tariff_relief,20,0.2170297110070612,0.0770928999092897,0.016731449788009438
增量关税优惠幅度,tariff_relief,21,0.21994084739920228,0.059467250980198935,0.013079277573085996
增量关税优惠幅度,tariff_relief,22,0.21539152732289363,0.07227537393439284,0.01556750317956213
增量关税优惠幅度,tariff_relief,23,0.22022271639465363,0.07873880130455442,0.01734007270894787
增量关税优惠幅度,tariff_relief,24,0.2181553445804909,0.05958547535024606,0.012998889907025276
增量关税优惠幅度,tariff_relief,25,0.2195304108179886,0.07102645472641586,0.015592466785035342
增量关税优惠幅度,tariff_relief,26,0.2173817431711984,0.05597531161047888,0.01216801081243692
增量关税优惠幅度,tariff_relief,27,0.2194723194011543,0.0710249769951246,0.015588016436533621
增量关税优惠幅度,tariff_relief,28,0.22083340580393432,0.06937511130803124,0.015320342108179575
增量关税优惠幅度,tariff_relief,29,0.21378664022035168,0.06046626838197558,0.01292688036404464
增量关税优惠幅度,tariff_relief,30,0.21949499973951192,0.06547281566921044,0.014370955658258458
增量关税优惠幅度,tariff_relief,31,0.21447187806590534,0.06902497784396928,0.014803916631653598
增量关税优惠幅度,tariff_relief,32,0.2154329903066487,0.09020977304870052,0.019434161162765678
增量关税优惠幅度,tariff_relief,33,0.2166116953535717,0.04586757725117836,0.009935453670138662
增量关税优惠幅度,tariff_relief,34,0.21981815767479254,0.06629521590863968,0.014572892223689772
增量关税优惠幅度,tariff_relief,35,0.21514246951417723,0.08141270598683689,0.01751533061583973
增量关税优惠幅度,tariff_relief,36,0.22161219645552363,0.07822089002186915,0.017334703246452372
增量关税优惠幅度,tariff_relief,37,0.2184311244647493,0.07476973139334829,0.016332036504176334
增量关税优惠幅度,tariff_relief,38,0.217197589736882,0.08680495829236014,0.01885382771831119
增量关税优惠幅度,tariff_relief,39,0.22185427053652743,0.08365470177701541,0.018559152839690497
