draw,false_date,annual_cutoff_year,coefficient
1,2020-01-24,2020,0.0037376708326406854
2,2018-01-02,2018,0.006041609995315169
3,2019-02-19,2019,0.007384270803423442
4,2019-01-29,2019,0.007384270803423442
5,2020-07-02,2020,0.0037376708326406854
6,2019-09-25,2019,0.007384270803423442
7,2018-01-30,2018,0.006041609995315169
8,2019-04-20,2019,0.007384270803423442
9,2018-11-12,2018,0.006041609995315169
10,2018-11-07,2018,0.006041609995315169
11,2021-07-23,2021,0.005149423463450771
12,2019-11-17,2019,0.007384270803423442
13,2019-04-08,2019,0.007384270803423442
14,2018-05-02,2018,0.006041609995315169
15,2021-04-20,2021,0.005149423463450771
16,2019-04-13,2019,0.007384270803423442
17,2019-04-15,2019,0.007384270803423442
18,2021-03-27,2021,0.005149423463450771
19,2019-01-12,2019,0.007384270803423442
20,2020-04-30,2020,0.0037376708326406854
21,2019-11-09,2019,0.007384270803423442
22,2020-05-31,2020,0.0037376708326406854
23,2018-01-27,2018,0.006041609995315169
24,2019-03-05,2019,0.007384270803423442
25,2021-08-19,2021,0.005149423463450771
26,2019-11-23,2019,0.007384270803423442
27,2019-06-10,2019,0.007384270803423442
28,2018-10-19,2018,0.006041609995315169
29,2018-03-06,2018,0.006041609995315169
30,2020-04-10,2020,0.0037376708326406854
31,2019-08-30,2019,0.007384270803423442
32,2018-09-25,2018,0.006041609995315169
33,2019-06-12,2019,0.007384270803423442
34,2018-12-29,2018,0.006041609995315169
35,2019-12-17,2019,0.007384270803423442
36,2019-03-06,2019,0.007384270803423442
37,2021-10-20,2021,0.005149423463450771
38,2018-02-24,2018,0.006041609995315169
39,2019-09-05,2019,0.007384270803423442
40,2018-03-04,2018,0.006041609995315169
41,2020-08-06,2020,0.0037376708326406854
42,2020-01-04,2020,0.0037376708326406854
43,2021-03-24,2021,0.005149423463450771
44,2020-02-13,2020,0.0037376708326406854
45,2018-08-08,2018,0.006041609995315169
46,2019-11-13,2019,0.007384270803423442
47,2019-05-28,2019,0.007384270803423442
48,2020-04-11,2020,0.0037376708326406854
49,2019-09-08,2019,0.007384270803423442
50,2019-08-22,2019,0.007384270803423442
51,2019-04-04,2019,0.007384270803423442
52,2018-11-15,2018,0.006041609995315169
53,2020-05-24,2020,0.0037376708326406854
54,2021-06-16,2021,0.005149423463450771
55,2021-01-23,2021,0.005149423463450771
56,2020-04-01,2020,0.0037376708326406854
57,2020-09-16,2020,0.0037376708326406854
58,2020-10-11,2020,0.0037376708326406854
59,2021-07-01,2021,0.005149423463450771
60,2018-11-20,2018,0.006041609995315169
61,2020-01-24,2020,0.0037376708326406854
62,2021-08-22,2021,0.005149423463450771
63,2018-08-06,2018,0.006041609995315169
64,2020-11-20,2020,0.0037376708326406854
65,2018-08-27,2018,0.006041609995315169
66,2019-02-03,2019,0.007384270803423442
67,2018-11-06,2018,0.006041609995315169
68,2021-10-21,2021,0.005149423463450771
69,2020-10-21,2020,0.0037376708326406854
70,2018-12-17,2018,0.006041609995315169
71,2018-12-11,2018,0.006041609995315169
72,2018-12-27,2018,0.006041609995315169
73,2021-11-23,2021,0.005149423463450771
74,2021-07-24,2021,0.005149423463450771
75,2019-04-09,2019,0.007384270803423442
76,2020-05-25,2020,0.0037376708326406854
77,2021-12-27,2021,0.005149423463450771
78,2021-04-15,2021,0.005149423463450771
79,2020-01-26,2020,0.0037376708326406854
80,2020-06-10,2020,0.0037376708326406854
81,2020-07-27,2020,0.0037376708326406854
82,2018-08-04,2018,0.006041609995315169
83,2020-04-05,2020,0.0037376708326406854
84,2021-02-09,2021,0.005149423463450771
85,2021-10-20,2021,0.005149423463450771
86,2018-09-02,2018,0.006041609995315169
87,2021-09-11,2021,0.005149423463450771
88,2019-12-04,2019,0.007384270803423442
89,2018-05-28,2018,0.006041609995315169
90,2020-12-30,2020,0.0037376708326406854
91,2019-01-03,2019,0.007384270803423442
92,2020-02-26,2020,0.0037376708326406854
93,2020-08-08,2020,0.0037376708326406854
94,2018-02-27,2018,0.006041609995315169
95,2020-11-10,2020,0.0037376708326406854
96,2021-05-18,2021,0.005149423463450771
97,2019-11-18,2019,0.007384270803423442
