specification,term,coefficient,std_error,t_stat,p_value,observations,pairs,partner_countries,cluster,pair_fe,year_fe
"Preferred: uniform 2022, pair clusters",treated_uniform,0.013629218237613379,0.004045939213726166,3.3686166592358053,0.0007555158682701624,630280,78785,181,pair,True,True
"Country-specific entry timing, pair clusters",treated_staged,0.014369995101204023,0.004073121716662623,3.5280053238817293,0.0004187377535882497,630280,78785,181,pair,True,True
Country-cluster inference (sensitivity),treated_uniform,0.013629218237613379,0.020334769201186646,0.670242091403626,0.5027037563144066,630280,78785,181,country,True,True
Two-way country and Chinese-firm clusters,treated_uniform,0.013629218237613379,0.0200971543754786,0.6781665694046205,0.4976663710080951,630280,78785,181,country_firm,True,True
"Exclude 2020-2021, pair clusters",treated_uniform,0.015124286570649516,0.004667509392569146,3.2403333980919165,0.0011939991955773888,472710,78785,181,pair,True,True
"Window 2019-2024, pair clusters",treated_uniform,0.010675509916224788,0.004184543202449102,2.5511768907002073,0.010736356554786664,472710,78785,181,pair,True,True
"Exclude US partners, pair clusters",treated_uniform,0.009750139472927485,0.004151980002291128,2.348310798112516,0.018859213169284628,508248,63531,180,pair,True,True
"RCEP versus Asian non-members, pair clusters",treated_uniform,-0.012402482205274583,0.00565410104916793,-2.1935374160141263,0.028270045533335342,192224,24028,21,pair,True,True
"Exclude offshore financial centers, pair clusters",treated_uniform,0.01708335724536763,0.004197251914122485,4.070129121363264,4.6995621744150284e-05,482840,60355,174,pair,True,True
"Incumbent relationships active in 2021, pair clusters",treated_uniform,0.0042175418220261685,0.009463137341663671,0.445681138268749,0.6558284214712742,132816,16602,123,pair,True,True
"Supplier links only, pair clusters",treated_uniform,0.029473340973373733,0.006335053455943821,4.652421826957209,3.2824308315859696e-06,260464,32558,111,pair,True,True
