outcome,cluster,fe,treat,coef,se,p,n
break,pair_fe,pair_fe + year,binary,0.0028798617722768866,0.0015925910326171472,0.07056564453333669,630280
break,pair_fe,pair_fe + year + firm_year_fe,binary,0.001927872652854438,0.0018128372701518623,0.28757847300962514,630280
break,country,pair_fe + year,binary,0.0028798617722768866,0.004512975724705024,0.5242005531440586,630280
break,country,pair_fe + year + firm_year_fe,binary,0.001927872652854438,0.0031063214237535583,0.5356288853407634,630280
entry,pair_fe,pair_fe + year,binary,0.0037206908363687694,0.002270326644350743,0.10125161432882046,630280
entry,pair_fe,pair_fe + year + firm_year_fe,binary,0.00016604938259874393,0.002238938521532465,0.9408798139099162,630280
entry,country,pair_fe + year,binary,0.0037206908363687694,0.00898610307874125,0.679330857933385,630280
entry,country,pair_fe + year + firm_year_fe,binary,0.00016604938259874393,0.009150185700540646,0.9855415989794232,630280
break,pair_fe,pair_fe+year+firm_year,binary_trim5,0.0012209414794212964,0.0018276788234295788,0.5041174556152443,606664
entry,pair_fe,pair_fe+year+firm_year,binary_trim5,-0.0003708022194791824,0.0022767541666053083,0.8706256288930176,606664
