"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202101","01012900","其他马，改良种用除外","301","比利时","10","一般贸易","11","北京市","6800","千克","17","头","12,626,337",
"202101","01012900","其他马，改良种用除外","309","荷兰","10","一般贸易","11","北京市","23950","千克","52","头","12,892,623",
"202101","01012900","其他马，改良种用除外","309","荷兰","10","一般贸易","21","辽宁省","1000","千克","25","头","469,535",
"202101","01022100","改良种用家牛","412","智利","10","一般贸易","11","北京市","410200","千克","1465","头","16,876,393",
"202101","01022100","改良种用家牛","444","乌拉圭","10","一般贸易","37","山东省","1039667","千克","3609","头","54,603,024",
"202101","01022100","改良种用家牛","601","澳大利亚","10","一般贸易","11","北京市","749505","千克","2467","头","42,772,500",
"202101","01022100","改良种用家牛","609","新西兰","10","一般贸易","11","北京市","1518765","千克","4161","头","57,379,795",
"202101","01022900","其他家牛，改良种用除外","412","智利","10","一般贸易","11","北京市","3565776","千克","11075","头","130,178,163",
"202101","01022900","其他家牛，改良种用除外","444","乌拉圭","10","一般贸易","37","山东省","110333","千克","383","头","5,794,668",
"202101","01022900","其他家牛，改良种用除外","601","澳大利亚","10","一般贸易","11","北京市","4844488","千克","16431","头","256,840,365",
"202101","01022900","其他家牛，改良种用除外","609","新西兰","10","一般贸易","11","北京市","584570","千克","1602","头","20,608,719",
"202101","01022900","其他家牛，改良种用除外","609","新西兰","10","一般贸易","37","山东省","2666644","千克","8372","头","93,286,354",
"202101","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","44","广东省","28300","千克","52","头","1,252,349",
"202101","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","62","甘肃省","46000","千克","72","头","1,760,394",
"202101","01029090","其他牛，改良种用除外","110","中国香港","10","一般贸易","64","宁夏回族自治区","45904","千克","76","头","1,601,892",
"202101","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","13","河北省","18300","千克","24","头","687,970",
"202101","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","15","内蒙古自治区","24100","千克","36","头","849,845",
"202101","01029090","其他牛，改良种用除外","121","中国澳门","10","一般贸易","44","广东省","23400","千克","30","头","980,325",
"202101","01031000","改良种用猪","305","法国","10","一般贸易","52","贵州省","177644","千克","1996","头","26,509,028",
"202101","01031000","改良种用猪","502","美国","10","一般贸易","11","北京市","41805","千克","929","头","12,529,371",
"202101","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","36","江西省","24800","千克","200","头","1,015,320",
"202101","01039200","其他猪，重量≥50kg，改良种用除外","110","中国香港","10","一般贸易","42","湖北省","4900","千克","40","头","162,451",
