NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines,EstCode
H5,840,2020,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010129,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010130,      6.80,      6.80,      6.80,      6.80,0,0,0,1,1,1,U2 
H5,840,2020,010190,      4.50,      0.00,      4.50,      2.25,0,1,0,1,2,2,U2 
H5,840,2020,010221,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010229,      0.33,      0.00,      0.33,      0.16,0,1,1,0,2,2,U2 
H5,840,2020,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010239,      0.17,      0.17,      0.17,      0.17,0,0,1,0,1,1,U2 
H5,840,2020,010290,      0.34,      0.34,      0.34,      0.34,0,0,1,0,1,1,U2 
H5,840,2020,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010391,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010392,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010410,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010420,      0.20,      0.20,      0.20,      0.20,0,0,1,0,1,1,U2 
H5,840,2020,010511,      0.77,      0.77,      0.77,      0.77,0,0,1,0,1,1,U2 
H5,840,2020,010512,      0.36,      0.36,      0.36,      0.36,0,0,1,0,1,1,U2 
H5,840,2020,010513,      0.41,      0.41,      0.41,      0.41,0,0,1,0,1,1,U2 
H5,840,2020,010514,      0.18,      0.18,      0.18,      0.18,0,0,1,0,1,1,U2 
H5,840,2020,010515,      0.96,      0.96,      0.96,      0.96,0,0,1,0,1,1,U2 
H5,840,2020,010594,      2.24,      2.24,      2.24,      2.24,0,0,1,0,1,1,U2 
H5,840,2020,010599,      1.36,      1.36,      1.36,      1.36,0,0,1,0,1,1,U2 
H5,840,2020,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010613,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010614,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010619,      4.80,      0.00,      4.80,      2.40,0,1,0,1,2,2,U2 
H5,840,2020,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010631,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H5,840,2020,010632,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H5,840,2020,010633,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H5,840,2020,010639,      1.80,      1.80,      1.80,      1.80,0,0,0,1,1,1,U2 
H5,840,2020,010641,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,020110,     28.58,      1.09,     26.40,      9.53,0,0,2,1,3,3,U2 
H5,840,2020,020120,     56.07,      0.84,     26.40,      8.01,0,0,2,5,7,7,U2 
H5,840,2020,020130,     55.63,      0.61,     26.40,      7.95,0,0,2,5,7,7,U2 
H5,840,2020,020210,     28.53,      1.07,     26.40,      9.51,0,0,2,1,3,3,U2 
H5,840,2020,020220,     56.70,      1.15,     26.40,      8.10,0,0,2,5,7,7,U2 
H5,840,2020,020230,     56.16,      0.88,     26.40,      8.02,0,0,2,5,7,7,U2 
H5,840,2020,020311,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,020312,      0.64,      0.00,      0.64,      0.32,0,1,1,0,2,2,U2 
H5,840,2020,020319,      0.39,      0.00,      0.39,      0.20,0,1,1,0,2,2,U2 
H5,840,2020,020321,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1,U2 
H5,840,2020,020322,      0.66,      0.00,      0.66,      0.33,0,1,1,0,2,2,U2 
H5,840,2020,020329,      0.46,      0.00,      0.46,      0.23,0,1,1,0,2,2,U2 
H5,840,2020,020410,      0.11,      0.11,      0.11,      0.11,0,0,1,0,1,1,U2 
