"doi","title","year","categories","source_files","openalex_is_oa","pdf_url","status","error"
"10.1007/978-81-322-2698-7_14","Global Production Sharing and Asian Trade Patterns: Implications for the Regional Comprehensive Economic Partnership (RCEP)","2015","05F_累积规则与中日韩","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\F_累积规则与中日韩.md","False","https://openresearch-repository.anu.edu.au/bitstream/1885/260168/3/01_Athukorala_Global_production_sharing_and_2016.pdf.jpg","download_failed","Response status code does not indicate success: 503 (Service Unavailable)."
"10.1007/978-981-97-6839-4_11","China–ASEAN International Logistics Development and Prospects Under the RCEP","2024","05D_贸易便利化","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\D_便利化调节效应.md","False","","no_free_pdf_found",""
"10.1007/978-981-99-7599-0_7","Input Trade Liberalization and Import Switching: Evidence from Chinese Firms","2023","05B_来源再配置","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md","False","","no_free_pdf_found",""
"10.1007/s10290-022-00479-w","Multiple preference regimes and rules of origin","2022","00_近期文献; 04_原产地累积","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\04_原产地累积规则_制度特性.md","True","https://ir.ide.go.jp/record/50746/files/IDP000738_001.pdf","downloaded",""
"10.1007/s11079-007-9050-8","Import Source Reallocation and U.S. Manufacturing Employment, 1972–2001","2007","05B_来源再配置","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md","False","","no_free_pdf_found",""
"10.1007/s11149-025-09500-0","Regulatory quality and value-chain participation in regional comprehensive trade partnership (RCEP): evidence of nonlinear effects","2025","01_RCEP实证","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\01_RCEP_实证文献空白.md","False","","no_free_pdf_found",""
"10.1007/s12140-005-0019-1","Trilateral trade relations among China, Japan and South Korea: Challenges and prospects of regional economic integration","2005","05E_中日韩FTA","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\E_中日韩三边FTA.md","False","","no_free_pdf_found",""
"10.1007/s12140-013-9196-5","The Potential of China-Japan-South Korea Free Trade Agreement","2013","04_原产地累积; 05E_中日韩FTA","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\04_原产地累积规则_制度特性.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\E_中日韩三边FTA.md","False","","no_free_pdf_found",""
"10.1007/s40812-024-00320-5","RCEP regional value chain construction and global value chain position enhancement: a measurement analysis based on regional value chains","2024","01_RCEP实证; 04_原产地累积","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\01_RCEP_实证文献空白.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\04_原产地累积规则_制度特性.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2016.05.001","Effects on China and ASEAN of the ASEAN-China FTA: The FDI perspective","2016","05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2017.09.001","The welfare and sectoral adjustment effects of mega-regional trade agreements on ASEAN countries","2017","05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2017.12.005","The effects of Mega-Regional Trade Agreements on Vietnam","2017","05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2017.12.007","Trade efficiency, free trade agreements and rules of origin","2017","05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2020.101216","The U.S.–China trade war: Tariff data and general equilibrium analysis","2020","05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2020.101246","The impact of destination tariffs on China’s exports: Country, firm, and product perspectives","2020","05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2021.101308","Measuring trade creation effects of free trade agreements: Evidence from wine trade in East Asia","2021","05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","True","https://openresearch-repository.anu.edu.au/bitstreams/95527e70-da43-4ffb-8137-6f06d1692f46/download","download_failed","Response status code does not indicate success: 503 (Service Unavailable)."
"10.1016/j.asieco.2021.101369","Can trade liberalization promote green production? Evidence from China's manufacturing enterprises","2021","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
